alpha,sel_DNA_validACC,Base_va_ACCold,DNA_va_ACCnew,Base_te_AUCold,Base_te_ACCold,DNA_te_AUCold,DNA_te_ACCold,DNA_te_AUCnew,DNA_te_ACCnew,DNA_te_F1new,LoRA_te_AUCnew,LoRA_te_ACCnew,LoRA_te_F1new,DNA_va_AUCnew,LoRA_va_AUCnew
0.5,0.7356,0.7240372330717284,0.7471929227628445,0.807552560608627,0.7177323181359508,0.807552560608627,0.7177323181359508,0.7071133132724682,0.7565290648694187,0.6037839319989032,0.678736436518805,0.6995787700084246,0.5618087982305234,0.709006212115281,0.6857792847184374
0.55,0.7345,0.7218470523818215,0.7471929227628445,0.8052809098165538,0.7137877258967067,0.8052809098165538,0.7137877258967067,0.699441989744717,0.7534962089300759,0.601253747615154,0.6757914242185384,0.7044650379106993,0.5673408978786384,0.701996629458214,0.6840649055134154
0.6,0.7335,0.7194743566344224,0.7475331745491663,0.8004373584919694,0.7113108889092744,0.8004373584919694,0.7113108889092744,0.7085141107382844,0.748441449031171,0.5978992728252087,0.6963568224131611,0.7044650379106993,0.5632470119521913,0.7126966943998619,0.699445637216081
0.65,0.7343,0.7251323234166819,0.7434501531133039,0.8054754078186642,0.7132373176772773,0.8054754078186642,0.7132373176772773,0.7022657936651933,0.7528222409435552,0.5988515176374077,0.6816159511231601,0.7046335299073294,0.5563148569982282,0.7044138740252479,0.6884697961113302
0.7,0.7288,0.7138163898521628,0.7437904048996257,0.8030370661871327,0.7122282359416567,0.8030370661871327,0.7122282359416567,0.7001233790888693,0.7518112889637742,0.5978705978705978,0.6816936198468558,0.7064869418702612,0.5560652395514781,0.7024312466688548,0.6892569752047368
0.75,0.7265,0.7152765103121007,0.737665872745832,0.8014385346757853,0.7094761948445096,0.8014385346757853,0.7094761948445096,0.7051872167569706,0.7469250210614996,0.5949298813376483,0.683694436434988,0.7032855939342881,0.5354787654972303,0.7081605654640919,0.6884642755693937
0.8,0.7233,0.714728965139624,0.73188159237836,0.8015148564626382,0.7086505825153656,0.8015148564626382,0.7086505825153656,0.7109902247825716,0.7411962931760742,0.5908364411294619,0.6929618585084142,0.7009267059814659,0.5386015076683129,0.7139049402827923,0.6963696916225274
0.85,0.7248,0.7143639350246396,0.7352841102415788,0.7973987371322143,0.7049811943858362,0.7973987371322143,0.7049811943858362,0.7044804815611438,0.7417017691659646,0.5884563758389262,0.684832302058309,0.7059814658803707,0.534542544678581,0.7075277106111842,0.6893284913161877
0.9,0.7223,0.716189085599562,0.7284790745151412,0.7976537009220482,0.7078249701862215,0.7976537009220482,0.7078249701862215,0.7088658157988975,0.732603201347936,0.5802697699021423,0.6963856188139496,0.7056444818871104,0.5456436931079324,0.7118462800079094,0.7002852614578847
0.95,0.718,0.7127212995072093,0.7233752977203131,0.7955644110240101,0.7068158884506008,0.7955643941199599,0.7068158884506008,0.7115426263271125,0.728390901432182,0.5775681341719078,0.6989507570253808,0.7005897219882056,0.5423641514293073,0.7144459533925738,0.7030836743522647
