dataset,split,protocol,seed,train_seed,support_query_seed,support_frac,method,method_label,method_family,is_oracle,drift_space,selected_hparams,selection_source,AUC_old,AUC_new,RMSE_old,RMSE_new,ACC_old,ACC_new,F1_old,F1_new,TMD,n_old_test,n_new_test,Balanced_AUC,Balanced_ACC,ACC_overall
a0910,user,merged_10seed,7,7,7,0.5,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.6560687835020227,,0.4510341141591995,,0.7046099480644643,,0.7999419806360373,,,18677,8436,,,
a0910,user,merged_10seed,7,7,7,0.5,EWC,EWC (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.7117659716956242,0.6805578606624693,0.4999333408264193,0.5187418750984254,0.6852813621031215,0.6527975343764817,0.7665607625099286,0.7301704283740212,0.0822674483060836,18677,8436,0.6961619161790467,0.6755362137851295,0.675174270645078
a0910,user,merged_10seed,7,7,7,0.5,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.6868717692918184,0.667867559349172,0.5045202574442721,0.5149936617364451,0.6704502864485731,0.6465149359886202,0.7564787339268051,0.7249077490774908,0.1160009577870369,18677,8436,0.6773696643204952,0.6632696813105872,0.6630029874967728
a0910,user,merged_10seed,7,7,7,0.5,C-LoRA,C-LoRA (lambda=10.0),continual_learning_baseline,False,embedding,"{""lambda"": 10.0}",fixed_from_existing_result,0.676593128189833,0.6806217385760261,0.4734209590224967,0.4797793602537267,0.6712534132890722,0.6605026078710289,0.7615163520546882,0.7444226307335357,0.144002303481102,18677,8436,0.6786074333829295,0.6680281716636591,0.6679083834323019
a0910,user,merged_10seed,7,7,7,0.5,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_user_specification,0.6595982269120604,0.6754376513775047,0.4508771295121397,0.4634620953356192,0.6963109707126413,0.6654812707444286,0.7969499534617313,0.7770227560050569,0.0284965820610523,18677,8436,0.6675179391447825,0.6870620607221775,0.6867185482978645
a0910,user,merged_10seed,7,7,7,0.5,Full-Replay,Full Replay Oracle,oracle,True,gncdm_concept,{},fixed_or_not_applicable,0.6527302339631678,0.6690832047159254,0.4584710376504857,0.4616433297469929,0.6944370080848102,0.6844476055002371,0.7877097050180412,0.7737164229853791,0.039300512522459,18677,8436,0.6609067193395466,0.6914401873094382,0.6913288828237377
a0910,user,merged_10seed,7,7,7,0.5,C-LoRA-GNCDM,C-LoRA-GNCDM (lambda=10),gncdm_baseline,False,gncdm_concept,"{""lambda"": 10.0}",fixed_from_existing_result,0.654966952384456,0.6765889955979562,0.4850245070448618,0.4707661638659392,0.6494083632274991,0.6568278805120911,0.7341021684398603,0.7312726260094681,0.0276089459657669,18677,8436,0.6657779739912061,0.6516342184128766,0.6517168885774351
a0910,user,merged_10seed,7,7,7,0.5,ICD,ICD,external_baseline,False,icd_trait,{},fixed_protocol_external_icd,0.6175679079884121,0.6479567083998348,0.5038264506443288,0.4888866412348883,0.5133632093299498,0.6338922155688623,0.5261553020345934,0.713146288824247,4.12156343460083,18677,8436,0.6327623081941234,0.5495219112016235,0.5508648763026738
a0910,user,merged_10seed,7,7,7,0.5,CLEAN-Full,Ours (Dynamic DNA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.6560687835020227,0.7088812307946806,0.4510341141591995,0.4536935432109194,0.7046099480644643,0.6760312944523471,0.7999419806360373,0.7784353465747872,0.0,18677,8436,0.6824750071483516,0.6960363519808291,0.695717921292369
a0910,user,merged_10seed,7,7,7,0.5,CLEAN-LoRA,Ours (LoRA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.6560687835020227,0.713905638324765,0.4510341141591995,0.4498239989708315,0.7046099480644643,0.696538643907065,0.7999419806360373,0.7839662447257384,0.0,18677,8436,0.6849872109133939,0.7021885568172445,0.7020986242761775
a0910,user,merged_10seed,21,21,7,0.5,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.6602688310491337,,0.4503071579563852,,0.7078224554264604,,0.8013830755232029,,,18677,8436,,,
a0910,user,merged_10seed,21,21,7,0.5,EWC,EWC (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.7053022544529927,0.6744577164187038,0.4961886024239036,0.5104818128938963,0.6818011457942924,0.6541014698909435,0.7642321577339628,0.7302643741911629,0.0847543850541114,18677,8436,0.6898799854358482,0.6734912430232877,0.6731826061299008
a0910,user,merged_10seed,21,21,7,0.5,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.6882566481238208,0.6666184181337578,0.4992623977935961,0.5112555723396354,0.6733950848637361,0.6509009009009009,0.759083728278041,0.7264282396655829,0.1150803565979003,18677,8436,0.6774375331287893,0.6666468296748855,0.6663961937078154
a0910,user,merged_10seed,21,21,7,0.5,C-LoRA,C-LoRA (lambda=10.0),continual_learning_baseline,False,embedding,"{""lambda"": 10.0}",fixed_from_existing_result,0.6876057036491154,0.6780372678198066,0.463959873085927,0.4783187722060704,0.6868876157841195,0.6698672356567094,0.7779465370595383,0.753080946892455,0.1390027552843094,18677,8436,0.682821485734461,0.6817815017458965,0.6815918563050934
a0910,user,merged_10seed,21,21,7,0.5,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_user_specification,0.6649895102317929,0.6772106035764497,0.4488223211545235,0.465005525962318,0.7096964180542914,0.6695116168800379,0.8108428691041027,0.7717747216764899,0.0328341573476791,18677,8436,0.6711000569041212,0.6976409777020153,0.6971932283406485
a0910,user,merged_10seed,21,21,7,0.5,Full-Replay,Full Replay Oracle,oracle,True,gncdm_concept,{},fixed_or_not_applicable,0.666065385584523,0.6954592809892376,0.4541156333363272,0.4570251405989708,0.694329924506077,0.6824324324324325,0.7866193234909363,0.7821419858502073,0.0328929424285888,18677,8436,0.6807623332868803,0.6907606768839836,0.690628111975805
a0910,user,merged_10seed,21,21,7,0.5,C-LoRA-GNCDM,C-LoRA-GNCDM (lambda=10),gncdm_baseline,False,gncdm_concept,"{""lambda"": 10.0}",fixed_from_existing_result,0.6408637619680337,0.6577717654543287,0.5116708644876946,0.4767741400887518,0.6271349788509932,0.6481744902797535,0.7086436281482721,0.7233407904548844,0.0406399369239807,18677,8436,0.6493177637111812,0.6334468322796213,0.6336812599122192
a0910,user,merged_10seed,21,21,7,0.5,ICD,ICD,external_baseline,False,icd_trait,{},fixed_protocol_external_icd,0.6175679079884121,0.6479567083998348,0.5038264506443288,0.4888866412348883,0.5133632093299498,0.6338922155688623,0.5261553020345934,0.713146288824247,4.12156343460083,18677,8436,0.6327623081941234,0.5495219112016235,0.5508648763026738
a0910,user,merged_10seed,21,21,7,0.5,CLEAN-Full,Ours (Dynamic DNA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.6602688310491337,0.7086306165479288,0.4503071579563852,0.453708317376561,0.7078224554264604,0.6939307728781413,0.8013830755232029,0.7814827352742044,0.0,18677,8436,0.6844497237985312,0.7036549506619647,0.7035001659720429
a0910,user,merged_10seed,21,21,7,0.5,CLEAN-LoRA,Ours (LoRA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.6602688310491337,0.7227182207682362,0.4503071579563852,0.4464896835702782,0.7078224554264604,0.7030583214793741,0.8013830755232029,0.788554064320081,0.0,18677,8436,0.691493525908685,0.7063932152423344,0.7063401320399808
a0910,user,merged_10seed,42,42,7,0.5,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.6606086557630038,,0.4563854200401874,,0.6935803394549446,,0.7864791254710294,,,18677,8436,,,
a0910,user,merged_10seed,42,42,7,0.5,EWC,EWC (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.713633679177253,0.6752330788072067,0.4942569249531687,0.5152472702751647,0.6915457514590138,0.655642484589853,0.7727147196906932,0.7338037203335471,0.0862505435943603,18677,8436,0.6944333789922299,0.6807747713982655,0.680374727990263
a0910,user,merged_10seed,42,42,7,0.5,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.685037216888006,0.6722779770901697,0.5022845305997209,0.5110094710545955,0.6714675804465385,0.6538643907064959,0.7575278590057694,0.7316669729829075,0.1157642602920532,18677,8436,0.6786575969890878,0.6661866235245257,0.6659904842695386
a0910,user,merged_10seed,42,42,7,0.5,C-LoRA,C-LoRA (lambda=10.0),continual_learning_baseline,False,embedding,"{""lambda"": 10.0}",fixed_from_existing_result,0.6864837975242011,0.6939199834963414,0.4640620086134053,0.4692685626162421,0.6873159500990523,0.6772166903745851,0.778620166793025,0.7624531100061066,0.1460016518831253,18677,8436,0.6902018905102713,0.6842861721817122,0.6841736436395824
a0910,user,merged_10seed,42,42,7,0.5,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_user_specification,0.6567887873205593,0.6762878957309298,0.4593838317308891,0.4621321822483109,0.692188252931413,0.6644144144144144,0.7878989116399189,0.7727747010193434,0.0281289834529161,18677,8436,0.6665383415257446,0.6838561013763134,0.6835466381440637
a0910,user,merged_10seed,42,42,7,0.5,Full-Replay,Full Replay Oracle,oracle,True,gncdm_concept,{},fixed_or_not_applicable,0.6545586616767253,0.6932333790606083,0.4526618684874799,0.4580301184731762,0.7030036943834663,0.6729492650545282,0.8021119474867111,0.7826018438263336,0.0275225341320037,18677,8436,0.6738960203686668,0.6939873655847848,0.6936524914247778
a0910,user,merged_10seed,42,42,7,0.5,C-LoRA-GNCDM,C-LoRA-GNCDM (lambda=10),gncdm_baseline,False,gncdm_concept,"{""lambda"": 10.0}",fixed_from_existing_result,0.6382788855621734,0.6836994870963289,0.4992572936993308,0.4796267508004914,0.6266531027466938,0.6343053579895686,0.7096156248698622,0.6926984759438191,0.0491117425262928,18677,8436,0.6609891863292512,0.6289487793195563,0.6290340427101391
a0910,user,merged_10seed,42,42,7,0.5,ICD,ICD,external_baseline,False,icd_trait,{},fixed_protocol_external_icd,0.6175679079884121,0.6479567083998348,0.5038264506443288,0.4888866412348883,0.5133632093299498,0.6338922155688623,0.5261553020345934,0.713146288824247,4.12156343460083,18677,8436,0.6327623081941234,0.5495219112016235,0.5508648763026738
a0910,user,merged_10seed,42,42,7,0.5,CLEAN-Full,Ours (Dynamic DNA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.6606086557630038,0.7071399001279555,0.4563854200401874,0.4528283985727458,0.6935803394549446,0.6781650071123755,0.7864791254710294,0.7793579845591223,0.0,18677,8436,0.6838742779454796,0.6889557397521738,0.6887839781654557
a0910,user,merged_10seed,42,42,7,0.5,CLEAN-LoRA,Ours (LoRA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.6606086557630038,0.7232880431973105,0.4563854200401874,0.4468762266403503,0.6935803394549446,0.6981981981981982,0.7864791254710294,0.7820205479452055,0.0,18677,8436,0.6919483494801572,0.6949656970779207,0.6950171504444362
a0910,user,merged_10seed,84,84,7,0.5,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.6759806525715721,,0.4502663997583109,,0.7002730631257696,,0.7947646282446107,,,18677,8436,,,
a0910,user,merged_10seed,84,84,7,0.5,EWC,EWC (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.6878404856398099,0.6655001767601327,0.5071778278892675,0.5197417532502723,0.6710927879209723,0.6488857278330963,0.7562785161674271,0.7260451350351461,0.0843517929315567,18677,8436,0.6766703311999713,0.6644306698946094,0.6641832331353963
a0910,user,merged_10seed,84,84,7,0.5,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.6951230126566823,0.668933259400619,0.4988071370549548,0.5151414284098301,0.6756973818065,0.6417733522996681,0.7603371186641871,0.7197700296735905,0.1165581569075584,18677,8436,0.6820281360286506,0.6655201729544504,0.6651421827167779
a0910,user,merged_10seed,84,84,7,0.5,C-LoRA,C-LoRA (lambda=10.0),continual_learning_baseline,False,embedding,"{""lambda"": 10.0}",fixed_from_existing_result,0.6959473010289876,0.682447927408087,0.4583852976768744,0.4736106674102128,0.695936178187075,0.6735419630156472,0.7853984808978574,0.7576557550158395,0.1428854465484619,18677,8436,0.6891976142185373,0.6892179136356467,0.6889683915464906
a0910,user,merged_10seed,84,84,7,0.5,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_user_specification,0.6733807775970039,0.6863169700066442,0.4531993090153479,0.4613740297778816,0.698613267655405,0.6722380275011854,0.7984676524292005,0.7805381379474562,0.0399982444941997,18677,8436,0.679848873801824,0.690700695609139,0.690406815918563
a0910,user,merged_10seed,84,84,7,0.5,Full-Replay,Full Replay Oracle,oracle,True,gncdm_concept,{},fixed_or_not_applicable,0.6481605425697619,0.6630233885065586,0.4621771481037641,0.4646756297139967,0.6844782352626225,0.6839734471313419,0.7772612163132631,0.7724090831483694,0.0617228895425796,18677,8436,0.6555919655381602,0.6843267988232383,0.6843211743444104
a0910,user,merged_10seed,84,84,7,0.5,C-LoRA-GNCDM,C-LoRA-GNCDM (lambda=10),gncdm_baseline,False,gncdm_concept,"{""lambda"": 10.0}",fixed_from_existing_result,0.6413921467098679,0.6825619886328149,0.517319806889311,0.4652337963668104,0.5996144991165605,0.673067804646752,0.6737062570904966,0.7498185776487664,0.0384101197123527,18677,8436,0.6619770676713415,0.621650490775618,0.6224689263452956
a0910,user,merged_10seed,84,84,7,0.5,ICD,ICD,external_baseline,False,icd_trait,{},fixed_protocol_external_icd,0.6175679079884121,0.6479567083998348,0.5038264506443288,0.4888866412348883,0.5133632093299498,0.6338922155688623,0.5261553020345934,0.713146288824247,4.12156343460083,18677,8436,0.6327623081941234,0.5495219112016235,0.5508648763026738
a0910,user,merged_10seed,84,84,7,0.5,CLEAN-Full,Ours (Dynamic DNA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.6759806525715721,0.705699367019153,0.4502663997583109,0.4538868174205274,0.7002730631257696,0.6897818871503082,0.7947646282446107,0.7817165735257319,0.0,18677,8436,0.6908400097953626,0.6971257103331312,0.6970088149596134
a0910,user,merged_10seed,84,84,7,0.5,CLEAN-LoRA,Ours (LoRA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.6759806525715721,0.7149106044773308,0.4502663997583109,0.449741518860258,0.7002730631257696,0.6973684210526315,0.7947646282446107,0.7870192708767831,0.0,18677,8436,0.6954456285244515,0.6994016705038282,0.6993693062368606
a0910,user,merged_10seed,2,2,7,0.5,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.6637695035783618,,0.4523714360673,,0.7083578733201263,,0.8001760886312778,,,18677,8436,,,
a0910,user,merged_10seed,2,2,7,0.5,EWC,EWC (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.7146419258188592,0.6793132540836064,0.4934093499438935,0.5155951238270986,0.6879584515714515,0.6493598862019915,0.7686750813685799,0.7222013523666416,0.0849252119660377,18677,8436,0.6969775899512328,0.6763788819606135,0.6759488068454247
a0910,user,merged_10seed,2,2,7,0.5,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.6937560661793549,0.6756522303791264,0.4979598620306185,0.5089196659779371,0.6747871713872677,0.6567093409198672,0.7612233666168724,0.732939874585024,0.1152276024222374,18677,8436,0.6847041482792406,0.6693638222470475,0.6691623944233394
a0910,user,merged_10seed,2,2,7,0.5,C-LoRA,C-LoRA (lambda=10.0),continual_learning_baseline,False,embedding,"{""lambda"": 10.0}",fixed_from_existing_result,0.6969066424474394,0.6908734030446033,0.4610924549670275,0.4727685635554592,0.6883332440970177,0.6769796111901375,0.7755542702911123,0.757454383622608,0.1449349820613861,18677,8436,0.6938900227460214,0.6849271542249535,0.6848006491351012
a0910,user,merged_10seed,2,2,7,0.5,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_user_specification,0.6702001250781738,0.6699289446637093,0.4498052660623509,0.4632390863768574,0.7063232853241955,0.6623992413466098,0.8010446516014363,0.7652102225886233,0.0227840468287467,18677,8436,0.6700645348709415,0.6931460721309197,0.6926566591671892
a0910,user,merged_10seed,2,2,7,0.5,Full-Replay,Full Replay Oracle,oracle,True,gncdm_concept,{},fixed_or_not_applicable,0.6606252629694107,0.6878236181163688,0.4562892656362617,0.4613061087217091,0.69459763345291,0.6776908487434803,0.7883330859432982,0.7768934110117338,0.02754014916718,18677,8436,0.6742244405428898,0.6895255980400811,0.6893372183085604
a0910,user,merged_10seed,2,2,7,0.5,C-LoRA-GNCDM,C-LoRA-GNCDM (lambda=10),gncdm_baseline,False,gncdm_concept,"{""lambda"": 10.0}",fixed_from_existing_result,0.6421634291514422,0.6663067072172005,0.5097816967167836,0.4778171873834406,0.6166943299245061,0.6410621147463252,0.6930497791879261,0.7114541642843529,0.0353031679987907,18677,8436,0.6542350681843214,0.6240046653710518,0.6242761774794379
a0910,user,merged_10seed,2,2,7,0.5,ICD,ICD,external_baseline,False,icd_trait,{},fixed_protocol_external_icd,0.6175679079884121,0.6479567083998348,0.5038264506443288,0.4888866412348883,0.5133632093299498,0.6338922155688623,0.5261553020345934,0.713146288824247,4.12156343460083,18677,8436,0.6327623081941234,0.5495219112016235,0.5508648763026738
a0910,user,merged_10seed,2,2,7,0.5,CLEAN-Full,Ours (Dynamic DNA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.6637695035783618,0.7056195876467551,0.4523714360673,0.4535861805240364,0.7083578733201263,0.6844476055002371,0.8001760886312778,0.7815884476534296,0.0,18677,8436,0.6846945456125585,0.7011847929741595,0.7009183786375539
a0910,user,merged_10seed,2,2,7,0.5,CLEAN-LoRA,Ours (LoRA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.6637695035783618,0.718194376651628,0.4523714360673,0.4482203347003675,0.7083578733201263,0.6986723565670934,0.8001760886312778,0.7828092959671907,0.0,18677,8436,0.6909819401149949,0.7054522182942164,0.7053442997823922
a0910,user,merged_10seed,3,3,7,0.5,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.6658242943058049,,0.4535126195719025,,0.7014509824918349,,0.79215744744297,,,18677,8436,,,
a0910,user,merged_10seed,3,3,7,0.5,EWC,EWC (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.7247643049096282,0.6789419882736718,0.4871325050747472,0.5153113121415321,0.6989880601809713,0.6520862968231389,0.7773641691747188,0.7282659013054347,0.0852975100278854,18677,8436,0.70185314659165,0.6849175311736215,0.6843949396968244
a0910,user,merged_10seed,3,3,7,0.5,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.6922953901849631,0.6733081558219625,0.4997305219685271,0.5134138179428988,0.6752155057022006,0.6498340445708867,0.7605211212001579,0.7249022164276402,0.1171259805560112,18677,8436,0.6828017730034628,0.6676010673628063,0.66731826061299
a0910,user,merged_10seed,3,3,7,0.5,C-LoRA,C-LoRA (lambda=10.0),continual_learning_baseline,False,embedding,"{""lambda"": 10.0}",fixed_from_existing_result,0.6911841182100821,0.6872438194868811,0.4601165922045829,0.4740622135331,0.6892434545162499,0.6697486960644855,0.7791644471501408,0.7531017369727047,0.1464188396930694,18677,8436,0.6892139688484815,0.6833950269807205,0.6831778113819938
a0910,user,merged_10seed,3,3,7,0.5,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_user_specification,0.6706652718986685,0.6791953535332649,0.4552640577524453,0.4659343417780652,0.694865342399743,0.6715267899478425,0.7900379471686991,0.7676310272536687,0.0338888354599475,18677,8436,0.6749303127159667,0.6878637766641728,0.6876037325268322
a0910,user,merged_10seed,3,3,7,0.5,Full-Replay,Full Replay Oracle,oracle,True,gncdm_concept,{},fixed_or_not_applicable,0.6545517854098406,0.6952604220609947,0.4605584363212448,0.4615562607087228,0.6843176098945227,0.6792318634423897,0.7756468797564688,0.7681233933161954,0.0300778560340404,18677,8436,0.6749061037354176,0.6827918859588827,0.68273521926751
a0910,user,merged_10seed,3,3,7,0.5,C-LoRA-GNCDM,C-LoRA-GNCDM (lambda=10),gncdm_baseline,False,gncdm_concept,"{""lambda"": 10.0}",fixed_from_existing_result,0.6419425315500662,0.6745214734086192,0.4997262823931491,0.4713205744494454,0.6322214488408202,0.6469890943575154,0.7159809799462477,0.7178321015728634,0.036416795104742,18677,8436,0.6582320024793427,0.6366517424958287,0.636816287389813
a0910,user,merged_10seed,3,3,7,0.5,ICD,ICD,external_baseline,False,icd_trait,{},fixed_protocol_external_icd,0.6175679079884121,0.6479567083998348,0.5038264506443288,0.4888866412348883,0.5133632093299498,0.6338922155688623,0.5261553020345934,0.713146288824247,4.12156343460083,18677,8436,0.6327623081941234,0.5495219112016235,0.5508648763026738
a0910,user,merged_10seed,3,3,7,0.5,CLEAN-Full,Ours (Dynamic DNA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.6658242943058049,0.7088071952952482,0.4535126195719025,0.4529164559288667,0.7014509824918349,0.683854907539118,0.79215744744297,0.781840490797546,0.0,18677,8436,0.6873157448005265,0.6961721600060198,0.6959761000258179
a0910,user,merged_10seed,3,3,7,0.5,CLEAN-LoRA,Ours (LoRA),gncdm_strategy,False,gncdm_concept,{},fixed_or_not_applicable,0.6658242943058049,0.7097032394778445,0.4535126195719025,0.4508923876917034,0.7014509824918349,0.6936936936936937,0.79215744744297,0.7867986798679868,0.0,18677,8436,0.6877637668918247,0.6991237958523925,0.6990373621509977
a0910,user,merged_10seed,5,5,7,0.5,G-NCDM(Anchor),Base,anchor,False,gncdm_concept,{},fixed_or_not_applicable,0.6678640535006528,,0.4485896717839897,,0.7012368153343684,,0.799971322053341,,,18677,8436,,,
a0910,user,merged_10seed,5,5,7,0.5,EWC,EWC (lambda=10000),continual_learning_baseline,False,embedding,"{""lambda"": 10000}",fixed_from_existing_result,0.7094964805776116,0.6847887370269339,0.4972260835346419,0.5111233328429061,0.690581999250415,0.6638217164532954,0.7735767738902166,0.7409099214324868,0.0833871439099311,18677,8436,0.6971426088022727,0.682553914411279,0.6822557444768192
a0910,user,merged_10seed,5,5,7,0.5,DER++,DER++ (mem=5000),continual_learning_baseline,False,embedding,"{""mem_size"": 5000}",fixed_from_existing_result,0.6806401507794575,0.6814588929452723,0.5059690324240973,0.5053703040220209,0.6680944477164427,0.6595542911332385,0.7561464930569215,0.7380995805216123,0.1158824861049652,18677,8436,0.6810495218623649,0.6655324007414813,0.6654372441264338
a0910,user,merged_10seed,5,5,7,0.5,C-LoRA,C-LoRA (lambda=10.0),continual_learning_baseline,False,embedding,"{""lambda"": 10.0}",fixed_from_existing_result,0.6864787474566713,0.6844246661736609,0.4645089482978473,0.4756232317442362,0.6884938694651175,0.6728307254623044,0.7812123947051745,0.7601251520945593,0.1434836387634277,18677,8436,0.6854517068151661,0.6837949262642735,0.6836204034964777
a0910,user,merged_10seed,5,5,7,0.5,X-DER,X-DER (mem=5000),gncdm_baseline,False,gncdm_concept,"{""mem_size"": 5000}",fixed_from_user_specification,0.6726266957118071,0.6731230519579261,0.4528723400871179,0.4649888781840307,0.6958290946083419,0.6731863442389758,0.7930645102538885,0.7752873094791751,0.0300895012915134,18677,8436,0.6728748738348667,0.689036269497532,0.6887839781654557
