Paradigm,Model,Dataset,Metric,mean,std,n
Baselines,X-DER,Math1,ACC_new,75.1222,0.3518,10.0
Baselines,X-DER,Math1,F1_last,73.4532,1.4671,10.0
Baselines,X-DER,Math1,F1_new,66.1009,1.0235,10.0
Baselines,X-DER,Math1,RMSE_last,42.1539,0.344,10.0
Baselines,X-DER,Math1,RMSE_new,39.0727,0.1897,10.0
Baselines,X-DER,Math1,BD,7.2435,2.0044,10.0
Baselines,ICD,Junyi,ACC_last,70.0129,1.4708,10.0
Baselines,ICD,Junyi,ACC_new,66.835,4.4995,10.0
Baselines,ICD,Junyi,F1_last,70.7362,8.2856,10.0
Baselines,ICD,Junyi,F1_new,64.2018,13.4624,10.0
Baselines,ICD,Junyi,RMSE_last,45.2716,1.6372,10.0
Baselines,ICD,Junyi,RMSE_new,47.6062,0.435,10.0
Baselines,ICD,Junyi,BD,119.0189,24.5225,10.0
Baselines,ICD,a0910,ACC_last,54.3977,0.0,10.0
Baselines,ICD,a0910,ACC_new,65.0,0.0,10.0
Baselines,ICD,a0910,F1_last,59.2038,0.0,10.0
Baselines,ICD,a0910,F1_new,75.0974,0.0,10.0
Baselines,ICD,a0910,RMSE_last,49.1587,0.0,10.0
Baselines,ICD,a0910,RMSE_new,47.2827,0.0,10.0
Baselines,ICD,a0910,BD,422.4229,0.0,10.0
Baselines,ICD,Math1,ACC_last,68.6176,0.0,10.0
Baselines,ICD,Math1,ACC_new,71.1036,0.0,10.0
Baselines,ICD,Math1,F1_last,62.8757,0.0,10.0
Baselines,ICD,Math1,F1_new,51.4302,0.0,10.0
Baselines,ICD,Math1,RMSE_last,46.8248,0.0,10.0
Baselines,ICD,Math1,RMSE_new,47.1935,0.0,10.0
Baselines,ICD,Math1,BD,95.7548,0.0,10.0
