dataset,seed,method,method_key,ACC_old,ACC_new,ACC_overall,Balanced_ACC
a0910,11,G-NCDM,G-NCDM(Anchor),0.7337548483077414,,0.7337548483077414,
a0910,11,EWC,EWC,0.6698103182615164,0.6386315039201711,0.660174749440141,0.6604566739591128
a0910,11,DER++,DER++,0.6900005313213963,0.6790211451651224,0.6866074378648261,0.6867067154745141
a0910,11,C-LoRA,C-LoRA,0.6782583284628872,0.6428486576383939,0.6673152465215316,0.6676354272155393
a0910,11,X-DER,X-DER,0.7299559003241061,0.6982656212877167,0.7201622673372737,0.7204488166131892
a0910,11,Full Replay Oracle,Full-Replay,0.735800435683545,0.7261819909717272,0.7328279305407688,0.7329149022699997
a0910,11,C-LoRA-GNCDM,C-LoRA-GNCDM,0.709048403379204,0.7233903540033262,0.7134806710965894,0.7133509885664406
a0910,11,ICD,ICD,0.543976824655991,0.65,0.5767424581243954,0.5757837772591936
a0910,11,CLEAN-Full,CLEAN-Full,0.7337548483077414,0.720064148253742,0.7295238444876831,0.7296476382915416
a0910,11,CLEAN-LoRA,CLEAN-LoRA,0.7337548483077414,0.720064148253742,0.7295238444876831,0.7296476382915416
a0910,13,G-NCDM,G-NCDM(Anchor),0.7366771159874608,,0.7366771159874608,
a0910,13,EWC,EWC,0.672652887731789,0.6433238298883345,0.6635889716949962,0.6638541703787526
a0910,13,DER++,DER++,0.7009457520854365,0.6714183891660727,0.6918205514152502,0.6920875432096274
a0910,13,C-LoRA,C-LoRA,0.6788162159290154,0.6493228795438346,0.6697015308932046,0.6699682150134612
a0910,13,X-DER,X-DER,0.7324531108867754,0.6962461392254692,0.721263629354969,0.7215910193883835
a0910,13,Full Replay Oracle,Full-Replay,0.7368896445459858,0.7303991446899502,0.7348838063071331,0.734942494589175
a0910,13,C-LoRA-GNCDM,C-LoRA-GNCDM,0.7099782158227512,0.7232121644095985,0.7140680641726935,0.7139484003988054
a0910,13,ICD,ICD,0.543976824655991,0.65,0.5767424581243954,0.5757837772591936
a0910,13,CLEAN-Full,CLEAN-Full,0.7366771159874608,0.7203017343787123,0.731616432321304,0.7317645015048362
a0910,13,CLEAN-LoRA,CLEAN-LoRA,0.7366771159874608,0.7236279401282965,0.7326443702044863,0.7327623632297114
math1,1,G-NCDM,G-NCDM(Anchor),0.7289239519310156,,0.7289239519310156,
math1,1,EWC,EWC,0.6898449683515274,0.7502948609941028,0.7111546685673557,0.7079799361443
math1,1,DER++,DER++,0.7134207870837538,0.7521482729570346,0.7270729389403658,0.725039032845738
math1,1,C-LoRA,C-LoRA,0.6933308870745803,0.732603201347936,0.7071751009741031,0.705112581356587
math1,1,X-DER,X-DER,0.7249793596917714,0.7501263689974726,0.7338441435020194,0.7325234624834818
math1,1,Full Replay Oracle,Full-Replay,0.7247041555820567,0.750463352990733,0.7337847469707769,0.7324319148046595
math1,1,C-LoRA-GNCDM,C-LoRA-GNCDM,0.6249885331620952,0.7118786857624263,0.6556189118555477,0.6510555789421946
math1,1,ICD,ICD,0.686175580221998,0.7110362257792755,0.6949394155381325,0.6936337738891812
